timestamp,choice,reward,load0,load1
08:09:36,1,0.50,236,244
08:09:38,0,10.00,236,245
08:09:40,0,10.00,237,245
08:09:41,0,10.00,238,245
08:09:43,0,10.00,239,245
08:09:44,0,10.00,240,245
08:09:46,0,10.00,241,245
08:09:48,0,10.00,242,245
08:09:49,0,10.00,243,245
08:09:51,0,10.00,244,245
08:09:52,0,10.00,245,245
08:09:54,0,10.00,246,245
08:09:56,0,10.00,247,245
08:09:57,0,10.00,248,245
08:09:59,0,10.00,249,245
08:10:00,0,10.00,250,245
08:10:02,0,10.00,251,245
08:10:04,0,10.00,252,245
08:10:05,0,1.00,253,245
08:10:07,1,0.50,254,245
08:10:09,1,10.00,254,246
08:10:11,0,0.50,254,247
08:10:12,1,10.00,255,247
08:10:14,1,10.00,255,248
08:10:15,1,10.00,255,249
08:10:17,1,10.00,255,250
08:10:19,1,10.00,255,251
08:10:20,1,10.00,255,252
08:10:22,1,10.00,255,253
08:10:23,1,10.00,255,254
08:10:25,1,10.00,255,255
08:10:27,1,10.00,255,256
08:10:28,1,10.00,255,257
08:10:30,1,10.00,255,258
08:10:31,1,10.00,255,259
08:10:33,1,10.00,255,260
08:10:35,1,10.00,255,261
08:10:36,1,10.00,255,262
08:10:38,1,10.00,255,263
08:10:39,1,10.00,255,264
08:10:41,1,1.00,255,265
08:10:43,0,10.00,255,266
08:10:44,0,10.00,256,266
08:10:46,0,10.00,257,266
08:10:48,0,10.00,258,266
08:10:49,0,10.00,259,266
08:10:51,0,10.00,260,266
08:10:52,0,10.00,261,266
08:10:54,0,10.00,262,266
08:10:56,0,10.00,263,266
08:10:57,0,10.00,264,266
08:10:59,0,10.00,265,266
08:11:00,0,10.00,266,266
08:11:02,0,10.00,267,266
08:11:04,0,10.00,268,266
08:11:05,0,10.00,269,266
08:11:07,0,10.00,270,266
08:11:08,0,10.00,271,266
08:11:10,0,10.00,272,266
08:11:12,0,1.00,273,266
08:11:14,1,0.50,274,266
08:11:16,1,10.00,274,267
08:11:18,0,0.50,274,268
08:11:19,1,10.00,275,268
08:11:21,1,10.00,275,269
08:11:23,1,10.00,275,270
08:11:24,1,10.00,275,271
08:11:26,1,10.00,275,272
08:11:27,1,10.00,275,273
08:11:29,1,10.00,275,274
08:11:31,1,10.00,275,275
08:11:32,1,10.00,275,276
08:11:34,1,10.00,275,277
08:11:35,1,10.00,275,278
08:11:37,1,10.00,275,279
08:11:39,1,10.00,275,280
08:11:40,1,10.00,275,281
08:11:42,1,10.00,275,282
08:11:43,1,10.00,275,283
08:11:45,1,10.00,275,284
08:11:47,1,1.00,275,285
08:11:48,0,10.00,275,286
08:11:50,0,10.00,276,286
08:11:52,0,10.00,277,286
08:11:53,0,10.00,278,286
08:11:55,0,10.00,279,286
08:11:56,0,10.00,280,286
08:11:58,0,10.00,281,286
08:12:00,0,10.00,282,286
